,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
acceded,0.0,0.0,1.0,0.0
acceding,0.0,0.0,1.0,0.0
accent,1.0,2.0,4.0,1.0
accents,0.0,0.0,2.0,0.0
accentuated,0.0,0.0,0.0,1.0
accept,6.0,5.0,17.0,3.0
acceptable,2.0,0.0,6.0,0.0
acceptance,1.0,0.0,4.0,0.0
accepted,3.0,1.0,16.0,4.0
accepting,3.0,0.0,4.0,0.0
access,0.0,0.0,0.0,1.0
accessible,0.0,0.0,0.0,2.0
accession,1.0,0.0,0.0,1.0
accessions,1.0,0.0,0.0,0.0
accessories,0.0,0.0,0.0,1.0
accessory,0.0,1.0,0.0,0.0
accident,7.0,0.0,6.0,2.0
accidental,1.0,1.0,3.0,1.0
accidentally,2.0,0.0,3.0,0.0
acclamation,0.0,0.0,0.0,1.0
accommodate,2.0,0.0,0.0,0.0
accommodating,1.0,0.0,0.0,0.0
accommodation,3.0,0.0,0.0,1.0
accommodations,6.0,0.0,0.0,0.0
accompanied,1.0,0.0,6.0,3.0
accompaniment,0.0,0.0,0.0,1.0
accompany,1.0,1.0,3.0,1.0
accompanying,1.0,0.0,2.0,1.0
accomplice,0.0,2.0,0.0,0.0
accomplish,2.0,0.0,0.0,0.0
accomplished,2.0,2.0,12.0,4.0
accomplishment,1.0,0.0,3.0,0.0
accomplishments,4.0,0.0,5.0,0.0
accord,1.0,1.0,0.0,0.0
accordance,0.0,1.0,0.0,1.0
accordin,0.0,0.0,0.0,2.0
according,1.0,2.0,8.0,4.0
accordingly,6.0,0.0,6.0,0.0
accosted,1.0,0.0,2.0,0.0
account,37.0,9.0,38.0,30.0
accounted,0.0,1.0,2.0,1.0
accounting,0.0,0.0,3.0,0.0
accounts,5.0,2.0,3.0,3.0
accredit,0.0,0.0,0.0,1.0
accuracy,0.0,0.0,1.0,2.0
accurate,0.0,1.0,1.0,3.0
accurately,1.0,1.0,0.0,0.0
accusation,0.0,0.0,1.0,0.0
accusations,0.0,0.0,3.0,0.0
accuse,1.0,0.0,4.0,1.0
accused,1.0,0.0,2.0,1.0
accusing,0.0,0.0,1.0,0.0
accustomary,1.0,0.0,0.0,0.0
accustomed,0.0,2.0,2.0,1.0
ached,0.0,0.0,1.0,1.0
achievements,0.0,1.0,0.0,1.0
achieving,0.0,0.0,1.0,0.0
aching,0.0,0.0,0.0,2.0
acid,0.0,0.0,0.0,6.0
acidity,0.0,0.0,0.0,1.0
acknowledge,8.0,5.0,8.0,1.0
acknowledged,8.0,1.0,20.0,0.0
acknowledgement,2.0,0.0,0.0,0.0
acknowledgements,1.0,0.0,0.0,0.0
acknowledging,0.0,0.0,1.0,0.0
acknowledgment,0.0,0.0,3.0,0.0
acknowledgments,0.0,0.0,2.0,0.0
acolyte,0.0,0.0,0.0,1.0
acquaint,0.0,0.0,2.0,0.0
acquaintance,61.0,7.0,52.0,5.0
acquaintances,0.0,1.0,11.0,0.0
acquainted,27.0,0.0,24.0,0.0
acquainting,0.0,0.0,1.0,0.0
acquiesce,0.0,0.0,1.0,0.0
acquiescence,2.0,0.0,2.0,1.0
acquire,0.0,0.0,1.0,0.0
acquired,4.0,1.0,2.0,2.0
acquisition,1.0,0.0,1.0,0.0
acquit,0.0,0.0,2.0,0.0
acquittal,1.0,0.0,0.0,0.0
acquitted,1.0,0.0,0.0,0.0
acre,1.0,0.0,0.0,0.0
acres,1.0,0.0,0.0,0.0
acrid,0.0,1.0,0.0,0.0
acrimonious,0.0,0.0,0.0,1.0
acrimony,0.0,0.0,1.0,0.0
acrobatic,0.0,0.0,0.0,1.0
across,3.0,29.0,5.0,49.0
act,8.0,7.0,9.0,8.0
acted,2.0,0.0,6.0,1.0
acting,5.0,3.0,3.0,2.0
action,2.0,7.0,2.0,9.0
actions,2.0,3.0,6.0,0.0
active,5.0,5.0,4.0,9.0
activity,2.0,2.0,4.0,6.0
acts,0.0,1.0,0.0,0.0
actual,4.0,0.0,5.0,9.0
actuality,0.0,0.0,0.0,1.0
actually,10.0,7.0,12.0,13.0
actuated,1.0,0.0,1.0,0.0
acute,1.0,2.0,2.0,2.0
acutely,0.0,0.0,4.0,1.0
acutest,0.0,0.0,1.0,0.0
adapt,0.0,0.0,0.0,2.0
adapted,1.0,0.0,3.0,0.0
add,6.0,3.0,12.0,3.0
added,24.0,5.0,71.0,12.0
addicted,0.0,0.0,0.0,1.0
adding,4.0,0.0,5.0,1.0
addition,5.0,0.0,8.0,0.0
additional,3.0,1.0,2.0,1.0
additions,0.0,0.0,1.0,0.0
address,2.0,8.0,19.0,11.0
addressed,3.0,1.0,17.0,3.0
addresses,3.0,0.0,6.0,0.0
addressing,3.0,2.0,3.0,2.0
adds,0.0,0.0,3.0,0.0
adduce,0.0,0.0,0.0,1.0
adelphi,0.0,0.0,0.0,1.0
adept,0.0,0.0,1.0,0.0
adequate,0.0,0.0,1.0,0.0
adhere,0.0,0.0,0.0,1.0
adhered,0.0,0.0,1.0,0.0
adhering,0.0,1.0,1.0,0.0
adieu,1.0,0.0,5.0,0.0
adieus,1.0,0.0,2.0,0.0
adjacent,0.0,0.0,0.0,1.0
adjectives,0.0,1.0,0.0,0.0
adjoining,3.0,0.0,0.0,0.0
adjust,0.0,0.0,0.0,1.0
adjusting,0.0,0.0,1.0,0.0
admirable,0.0,4.0,3.0,3.0
admirably,1.0,0.0,0.0,1.0
admiral,69.0,1.0,0.0,0.0
admiralty,1.0,0.0,0.0,0.0
admiration,10.0,4.0,25.0,1.0
admire,7.0,0.0,18.0,0.0
admired,5.0,0.0,12.0,0.0
admirer,1.0,0.0,3.0,0.0
admires,1.0,0.0,2.0,0.0
admiring,3.0,0.0,2.0,0.0
admission,0.0,1.0,1.0,2.0
admit,9.0,2.0,6.0,18.0
admittance,0.0,0.0,1.0,0.0
admitted,13.0,1.0,9.0,3.0
admitting,0.0,0.0,1.0,1.0
ado,0.0,1.0,0.0,0.0
adopt,1.0,1.0,3.0,1.0
adopted,3.0,1.0,1.0,0.0
adoration,0.0,0.0,1.0,1.0
adoring,0.0,0.0,0.0,1.0
adorned,0.0,0.0,3.0,1.0
adults,0.0,0.0,0.0,1.0
advance,1.0,1.0,3.0,10.0
advanced,1.0,0.0,5.0,9.0
advancement,0.0,0.0,1.0,0.0
advances,0.0,1.0,1.0,0.0
advancing,1.0,0.0,0.0,2.0
advantage,22.0,5.0,34.0,5.0
advantageous,0.0,0.0,2.0,0.0
advantageously,0.0,0.0,2.0,0.0
advantages,5.0,0.0,8.0,0.0
adven,0.0,1.0,0.0,0.0
advent,0.0,0.0,0.0,1.0
adventure,0.0,6.0,2.0,11.0
adventurers,0.0,0.0,0.0,2.0
adventures,0.0,4.0,0.0,15.0
adventurous,0.0,0.0,0.0,1.0
adverse,1.0,0.0,0.0,0.0
advertise,1.0,0.0,0.0,0.0
advertised,1.0,0.0,1.0,1.0
advice,5.0,6.0,16.0,2.0
advisability,0.0,1.0,0.0,0.0
advisable,1.0,1.0,6.0,0.0
advise,1.0,2.0,8.0,1.0
advised,2.0,0.0,3.0,0.0
advisedly,0.0,0.0,0.0,1.0
advising,2.0,1.0,1.0,0.0
aerodrome,0.0,0.0,0.0,1.0
aeronaut,0.0,0.0,0.0,1.0
aeronautic,0.0,0.0,0.0,1.0
aeroplane,0.0,0.0,0.0,1.0
aeroplanes,0.0,0.0,0.0,1.0
afar,0.0,0.0,0.0,2.0
affability,0.0,0.0,4.0,0.0
affable,0.0,0.0,1.0,0.0
affair,0.0,11.0,18.0,4.0
affairs,8.0,10.0,7.0,2.0
affect,2.0,0.0,3.0,2.0
affectation,0.0,0.0,3.0,0.0
affected,10.0,1.0,19.0,1.0
affecting,1.0,0.0,0.0,0.0
affection,9.0,2.0,58.0,0.0
affectionate,3.0,0.0,17.0,1.0
affectionately,3.0,0.0,4.0,0.0
affections,3.0,0.0,4.0,0.0
affinity,0.0,0.0,2.0,0.0
affirmative,0.0,0.0,2.0,0.0
afflicted,3.0,0.0,1.0,1.0
afflicting,0.0,0.0,1.0,0.0
affliction,3.0,0.0,1.0,0.0
affluence,3.0,0.0,0.0,0.0
affluent,1.0,0.0,0.0,1.0
affluents,0.0,0.0,0.0,1.0
afford,9.0,0.0,7.0,2.0
afforded,2.0,1.0,5.0,0.0
affording,0.0,0.0,2.0,0.0
affords,1.0,0.0,1.0,0.0
affright,0.0,0.0,0.0,1.0
affront,1.0,0.0,4.0,0.0
affronted,1.0,0.0,2.0,0.0
affronts,1.0,0.0,0.0,0.0
afloat,1.0,0.0,0.0,0.0
afoot,0.0,1.0,0.0,1.0
afraid,15.0,4.0,37.0,3.0
afresh,0.0,0.0,1.0,0.0
africa,0.0,1.0,0.0,1.0
african,0.0,2.0,0.0,0.0
after,96.0,57.0,200.0,82.0
afternoon,3.0,5.0,3.0,4.0
afterwards,36.0,8.0,32.0,8.0
again,132.0,62.0,177.0,61.0
against,27.0,46.0,52.0,31.0
againsts,1.0,0.0,0.0,0.0
agape,0.0,1.0,0.0,0.0
age,11.0,7.0,15.0,14.0
aged,0.0,1.0,0.0,0.0
agencies,0.0,1.0,0.0,0.0
agency,0.0,4.0,0.0,2.0
agent,1.0,6.0,0.0,0.0
agents,0.0,2.0,0.0,0.0
ages,0.0,0.0,0.0,3.0
aggravated,0.0,0.0,0.0,1.0
aggravation,3.0,0.0,0.0,0.0
aggressive,0.0,0.0,0.0,6.0
aghast,0.0,1.0,0.0,0.0
agile,0.0,1.0,0.0,0.0
agitated,3.0,1.0,5.0,0.0
agitation,14.0,2.0,6.0,0.0
agitations,4.0,0.0,1.0,0.0
ago,16.0,6.0,26.0,11.0
agonies,0.0,0.0,1.0,0.0
agonized,0.0,2.0,0.0,1.0
agony,6.0,2.0,1.0,3.0
agree,7.0,2.0,6.0,4.0
agreeable,38.0,0.0,45.0,1.0
agreeably,0.0,0.0,3.0,0.0
agreed,15.0,2.0,12.0,6.0
agreeing,1.0,0.0,3.0,0.0
agreement,2.0,0.0,3.0,0.0
ah,9.0,5.0,4.0,4.0
ahead,0.0,2.0,0.0,5.0
aid,2.0,5.0,1.0,6.0
aided,0.0,2.0,0.0,2.0
aiding,0.0,1.0,0.0,0.0
ailed,1.0,0.0,0.0,0.0
ailing,0.0,1.0,0.0,0.0
ailments,1.0,0.0,0.0,0.0
aimed,0.0,0.0,1.0,1.0
ain,0.0,0.0,0.0,2.0
air,20.0,17.0,30.0,36.0
airing,0.0,0.0,1.0,0.0
airs,1.0,0.0,1.0,0.0
aisle,0.0,0.0,0.0,1.0
aisles,0.0,0.0,0.0,1.0
ajouti,0.0,0.0,0.0,2.0
akin,1.0,0.0,0.0,0.0
alacrity,4.0,0.0,5.0,0.0
alarm,6.0,0.0,14.0,3.0
alarmed,4.0,4.0,8.0,4.0
alarming,4.0,0.0,5.0,1.0
alarms,0.0,1.0,1.0,0.0
alas,5.0,0.0,2.0,2.0
albany,0.0,0.0,0.0,5.0
albert,0.0,0.0,0.0,1.0
albino,0.0,0.0,0.0,1.0
alert,0.0,4.0,0.0,3.0
alertness,1.0,1.0,0.0,0.0
alicia,2.0,0.0,0.0,0.0
alienable,1.0,0.0,0.0,0.0
alienated,0.0,0.0,1.0,0.0
alienations,1.0,0.0,0.0,0.0
alighted,0.0,1.0,1.0,0.0
alike,4.0,0.0,2.0,0.0
alive,4.0,6.0,2.0,10.0
all,530.0,215.0,624.0,312.0
allamanda,0.0,0.0,0.0,1.0
allay,0.0,0.0,0.0,3.0
allayed,1.0,0.0,1.0,0.0
alleviate,0.0,0.0,1.0,0.0
alleviated,0.0,0.0,1.0,0.0
alley,0.0,16.0,0.0,0.0
alliance,5.0,0.0,3.0,1.0
alliances,1.0,0.0,0.0,0.0
allies,0.0,0.0,0.0,4.0
alligators,0.0,0.0,0.0,3.0
allosaurus,0.0,0.0,0.0,1.0
allotted,0.0,0.0,0.0,1.0
allow,9.0,6.0,31.0,6.0
allowable,1.0,0.0,1.0,0.0
allowance,3.0,0.0,2.0,0.0
allowances,2.0,0.0,1.0,1.0
allowed,15.0,3.0,26.0,4.0
allowing,1.0,0.0,8.0,0.0
allows,0.0,1.0,0.0,0.0
alloy,3.0,0.0,0.0,0.0
allude,0.0,0.0,1.0,1.0
alluded,3.0,0.0,6.0,2.0
alluding,0.0,0.0,1.0,1.0
allurements,0.0,0.0,1.0,0.0
allusion,1.0,0.0,4.0,0.0
allusions,1.0,0.0,2.0,0.0
alluvial,0.0,0.0,0.0,1.0
ally,0.0,3.0,0.0,2.0
almoner,0.0,1.0,0.0,0.0
almost,60.0,11.0,59.0,10.0
aloes,0.0,0.0,0.0,1.0
aloft,0.0,1.0,0.0,0.0
alone,21.0,19.0,30.0,18.0
along,13.0,20.0,9.0,32.0
aloof,0.0,0.0,2.0,1.0
aloud,2.0,3.0,11.0,2.0
alpine,0.0,0.0,0.0,1.0
already,20.0,31.0,28.0,32.0
also,18.0,41.0,34.0,35.0
altar,0.0,0.0,1.0,0.0
alter,3.0,1.0,1.0,1.0
alteration,2.0,0.0,7.0,0.0
alterations,1.0,0.0,1.0,0.0
altered,12.0,1.0,7.0,5.0
altering,1.0,0.0,0.0,1.0
alternate,0.0,0.0,1.0,0.0
alternated,0.0,0.0,0.0,2.0
alternating,0.0,0.0,0.0,1.0
alternation,1.0,0.0,0.0,0.0
alternative,0.0,3.0,3.0,2.0
alternatives,1.0,1.0,0.0,0.0
although,0.0,2.0,1.0,4.0
altogether,13.0,3.0,8.0,1.0
alton,0.0,1.0,0.0,0.0
always,110.0,30.0,119.0,37.0
am,137.0,84.0,324.0,86.0
amajuaca,0.0,0.0,0.0,1.0
amateur,0.0,1.0,0.0,1.0
amaze,0.0,0.0,1.0,0.0
amazed,0.0,1.0,5.0,4.0
amazement,2.0,8.0,10.0,18.0
amazes,0.0,0.0,1.0,0.0
amazing,0.0,1.0,2.0,4.0
amazingly,1.0,0.0,0.0,0.0
amazon,0.0,0.0,0.0,14.0
amazonian,0.0,0.0,0.0,3.0
amber,0.0,0.0,0.0,1.0
ambition,1.0,0.0,1.0,0.0
ambitious,1.0,1.0,0.0,1.0
ambush,0.0,2.0,0.0,1.0
amendment,1.0,0.0,2.0,6.0
amends,1.0,0.0,5.0,1.0
america,0.0,6.0,0.0,24.0
american,0.0,2.0,0.0,21.0
americomaniac,0.0,0.0,0.0,1.0
amia,0.0,1.0,0.0,0.0
amiable,7.0,4.0,36.0,1.0
amicable,1.0,0.0,0.0,0.0
amid,0.0,9.0,1.0,23.0
amidst,3.0,0.0,4.0,5.0
amiss,3.0,0.0,1.0,3.0
ammunition,0.0,0.0,0.0,4.0
among,39.0,21.0,25.0,85.0
amongst,3.0,0.0,12.0,3.0
amount,1.0,2.0,2.0,2.0
amounting,0.0,0.0,1.0,0.0
ample,2.0,2.0,2.0,3.0
amplification,0.0,0.0,0.0,1.0
amply,0.0,0.0,2.0,0.0
amuse,2.0,0.0,5.0,0.0
amused,6.0,1.0,6.0,2.0
amusement,10.0,3.0,12.0,1.0
amusements,1.0,0.0,3.0,0.0
amusing,3.0,0.0,4.0,0.0
an,245.0,202.0,360.0,272.0
analogous,0.0,1.0,0.0,0.0
analogue,0.0,0.0,0.0,1.0
analogy,3.0,0.0,0.0,1.0
anatomy,0.0,1.0,0.0,3.0
ance,0.0,1.0,0.0,0.0
ancestor,0.0,0.0,0.0,1.0
ancestors,0.0,3.0,0.0,2.0
ancestral,0.0,1.0,0.0,0.0
ancestry,1.0,0.0,0.0,0.0
anchorage,1.0,0.0,0.0,0.0
anchored,0.0,0.0,0.0,1.0
anchors,0.0,0.0,0.0,1.0
ancient,3.0,2.0,1.0,1.0
and,2800.0,1628.0,3584.0,2088.0
anderson,0.0,1.0,0.0,0.0
anecdote,0.0,0.0,2.0,0.0
anecdotes,1.0,0.0,1.0,0.0
aneroid,0.0,0.0,0.0,2.0
anew,2.0,0.0,1.0,0.0
angel,0.0,1.0,3.0,1.0
angelic,0.0,0.0,1.0,0.0
anger,2.0,5.0,13.0,2.0
angle,0.0,2.0,0.0,6.0
angled,0.0,1.0,0.0,0.0
angrily,0.0,0.0,1.0,1.0
angry,5.0,5.0,17.0,8.0
anguish,1.0,1.0,2.0,0.0
angular,0.0,0.0,0.0,3.0
anima,0.0,1.0,0.0,0.0
animal,0.0,9.0,1.0,28.0
animals,0.0,0.0,0.0,14.0
animate,3.0,0.0,0.0,0.0
animated,4.0,0.0,2.0,0.0
animating,0.0,0.0,1.0,0.0
animation,5.0,0.0,4.0,0.0
ankle,0.0,0.0,1.0,1.0
ankles,0.0,0.0,2.0,0.0
anne,497.0,0.0,5.0,0.0
annesley,0.0,0.0,3.0,0.0
annexed,1.0,0.0,1.0,0.0
annihilation,0.0,0.0,0.0,2.0
announce,2.0,0.0,4.0,0.0
announced,4.0,1.0,3.0,2.0
annoyance,0.0,1.0,0.0,0.0
annoyed,0.0,0.0,1.0,3.0
annual,1.0,0.0,1.0,0.0
annum,0.0,0.0,2.0,0.0
anon,0.0,1.0,0.0,0.0
another,66.0,26.0,58.0,19.0
answer,31.0,25.0,65.0,16.0
answerable,0.0,0.0,2.0,0.0
answered,15.0,8.0,34.0,9.0
answering,0.0,0.0,3.0,3.0
answers,3.0,0.0,1.0,0.0
ant,0.0,0.0,0.0,3.0
antagonist,0.0,0.0,1.0,0.0
antarctic,0.0,0.0,0.0,1.0
ante,0.0,0.0,1.0,0.0
antennae,0.0,1.0,0.0,0.0
anthony,0.0,2.0,0.0,0.0
anthropoid,0.0,0.0,0.0,4.0
anthropoids,0.0,0.0,0.0,1.0
anthropological,0.0,1.0,0.0,0.0
anthropology,0.0,0.0,0.0,1.0
anticipa,0.0,1.0,0.0,0.0
anticipate,1.0,0.0,1.0,2.0
anticipated,2.0,1.0,4.0,1.0
anticipating,2.0,0.0,2.0,0.0
anticipation,1.0,1.0,1.0,2.0
antiquarian,0.0,1.0,0.0,0.0
antique,0.0,0.0,0.0,1.0
antithesis,0.0,0.0,0.0,1.0
antonio,0.0,1.0,0.0,0.0
ants,0.0,1.0,0.0,0.0
anxi,0.0,1.0,0.0,0.0
anxieties,1.0,1.0,0.0,0.0
anxiety,11.0,3.0,19.0,0.0
anxious,18.0,4.0,26.0,2.0
anxiously,4.0,0.0,2.0,1.0
any,200.0,95.0,269.0,116.0
anybody,21.0,0.0,25.0,0.0
anyhow,0.0,3.0,1.0,4.0
anyone,1.0,18.0,24.0,10.0
anythin,0.0,0.0,0.0,3.0
anything,49.0,37.0,80.0,13.0
anyway,0.0,0.0,0.0,1.0
anywhere,9.0,3.0,1.0,4.0
aogged,0.0,1.0,0.0,0.0
ap,0.0,2.0,0.0,0.0
apace,2.0,0.0,1.0,0.0
apart,1.0,4.0,0.0,7.0
apartment,2.0,1.0,4.0,0.0
apartments,2.0,0.0,2.0,0.0
ape,0.0,0.0,0.0,52.0
aperture,0.0,0.0,0.0,1.0
apes,0.0,0.0,0.0,6.0
apollinaris,0.0,0.0,0.0,1.0
apologies,3.0,1.0,2.0,0.0
apologise,0.0,0.0,5.0,0.0
apologised,1.0,0.0,2.0,0.0
apologising,0.0,0.0,4.0,0.0
apologize,2.0,0.0,0.0,2.0
apology,5.0,2.0,8.0,3.0
apothecary,2.0,0.0,2.0,0.0
appalling,0.0,1.0,0.0,0.0
apparatus,0.0,0.0,0.0,1.0
apparel,0.0,0.0,1.0,0.0
apparent,7.0,0.0,3.0,0.0
apparently,6.0,3.0,2.0,5.0
apparition,0.0,4.0,0.0,0.0
appeal,4.0,1.0,2.0,3.0
appealed,2.0,0.0,0.0,0.0
appeals,0.0,1.0,1.0,0.0
appear,13.0,1.0,30.0,8.0
appearance,24.0,11.0,33.0,21.0
appearances,2.0,0.0,1.0,0.0
appeared,20.0,9.0,31.0,22.0
appearing,3.0,0.0,6.0,2.0
appears,3.0,7.0,3.0,4.0
appease,0.0,0.0,1.0,0.0
appeased,1.0,0.0,1.0,1.0
appertain,0.0,0.0,1.0,0.0
appetite,0.0,0.0,2.0,1.0
applaud,0.0,0.0,0.0,1.0
applause,0.0,0.0,0.0,7.0
apples,1.0,0.0,0.0,3.0
appliances,0.0,0.0,0.0,1.0
applicant,1.0,0.0,0.0,0.0
application,4.0,1.0,12.0,0.0
applications,4.0,0.0,0.0,0.0
applied,5.0,0.0,12.0,0.0
applies,0.0,1.0,1.0,0.0
apply,2.0,2.0,3.0,0.0
applying,2.0,0.0,3.0,0.0
appoint,0.0,1.0,0.0,0.0
appointed,3.0,2.0,1.0,0.0
appointment,5.0,8.0,1.0,4.0
apportioned,0.0,0.0,0.0,2.0
appreciable,0.0,0.0,0.0,2.0
appreciate,1.0,1.0,0.0,0.0
appreciated,0.0,0.0,0.0,2.0
appreciation,1.0,2.0,0.0,3.0
apprehend,2.0,0.0,0.0,0.0
apprehended,0.0,0.0,1.0,0.0
apprehending,0.0,0.0,1.0,0.0
apprehension,2.0,0.0,12.0,2.0
apprehensions,3.0,0.0,2.0,0.0
apprehensive,1.0,0.0,1.0,0.0
approach,5.0,1.0,7.0,2.0
approachable,1.0,0.0,0.0,0.0
approached,3.0,7.0,6.0,5.0
approaches,0.0,0.0,0.0,1.0
approaching,1.0,1.0,12.0,2.0
approbation,0.0,1.0,7.0,0.0
approval,0.0,1.0,0.0,0.0
approve,1.0,0.0,5.0,1.0
approved,2.0,0.0,3.0,0.0
approves,1.0,0.0,0.0,0.0
approving,1.0,0.0,0.0,0.0
